response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int
1,-1,1,0,1.0,1,-1,0.9848977642397077,0.015102235760284442
1,1,1,1,2.0,1,2,0.9826430383453088,0.017356961654658568
1,1,1,1,-2.0,1,2,0.9837924884419059,0.016207511558058694
0,1,-1,1,,1,2,0.9883749359107737,0.011625064089282728
1,-1,2,0,-10.0,1,-1,0.9898575155190111,0.010142484481026871
0,1,-1,2,,1,3,0.9909475171150433,0.009052482884949345
1,-1,1,0,-3.0,1,-1,0.9898978513221824,0.010102148677829412
1,1,1,1,2.0,1,2,0.9862121174186808,0.013787882581303772
0,1,-1,1,,1,2,0.9858468983127558,0.014153101687215086
1,-1,1,0,3.0,1,-1,0.9820872746167615,0.017912725383237103
1,1,1,1,-1.0,1,2,0.9731552709708344,0.02684472902921158
1,1,2,1,10.0,1,2,0.9681726176106411,0.03182738238938676
1,1,1,2,3.0,1,3,0.965599904308129,0.034400095691867916
1,1,1,1,-2.0,1,2,0.9668505903461605,0.033149409653802295
0,1,-1,1,,1,2,0.9719560355021611,0.02804396449787683
0,-1,-1,0,,1,-1,0.9714748412016578,0.028525158798346228
1,-1,2,0,-10.0,1,-1,0.974701409094529,0.02529859090552453
0,1,-1,2,,1,3,0.9759898543016277,0.024010145698382807
0,-1,-1,0,,1,-1,0.9723649079077722,0.027635092092230373
0,-1,-1,0,,1,-1,0.9724357258945339,0.02756427410543805
1,-1,1,0,2.0,1,-1,0.9762040839565184,0.02379591604352854
1,1,2,1,10.0,1,2,0.9750789204456459,0.02492107955431702
0,1,-1,2,,1,3,0.9763442664377732,0.023655733562281466
1,-1,1,0,0.0,1,-1,0.9727482522294354,0.027251747770579284
0,1,-1,1,,1,2,0.9625902755336728,0.03740972446628851
0,-1,-1,0,,1,-1,0.9410664959316578,0.05893350406831234
0,-1,1,0,-3.0,1,-1,0.9250183357863658,0.0749816642136031
0,-1,-1,1,,1,0,0.9280633717949903,0.07193662820502698
1,-1,1,0,-2.0,1,-1,0.9356049782862342,0.06439502171381513
0,1,1,1,-2.0,1,2,0.9337254556287706,0.06627454437123759
0,-1,1,1,-2.0,1,0,0.9129686007274126,0.08703139927256691
0,-1,1,1,-1.0,1,0,0.913472979182838,0.08652702081713597
1,-1,1,1,-2.0,1,0,0.9356749379425285,0.06432506205748736
1,1,2,1,-10.0,1,2,0.9447222000909009,0.05527779990905303
1,1,1,2,-1.0,1,3,0.9562351600670645,0.04376483993298403
0,1,-1,1,,1,2,0.9725766865736326,0.02742331342640975
1,-1,1,0,0.0,1,-1,0.9802502632535969,0.019749736746451748
0,1,1,1,3.0,1,2,0.9828848251710556,0.017115174828890158
0,-1,-1,1,,1,0,0.9783233125592623,0.021676687440790817
0,-1,-1,0,,1,-1,0.977343523092817,0.022656476907134255
1,-1,1,0,2.0,1,-1,0.9799208894718244,0.020079110528231213
0,1,1,1,3.0,1,2,0.978222002531207,0.02177799746880898
0,-1,-1,1,,1,0,0.9663802258218853,0.03361977417806271
0,-1,-1,0,,1,-1,0.9588319488525006,0.04116805114748369
1,-1,2,0,10.0,1,-1,0.9553879056698508,0.04461209433009904
0,1,-1,2,,1,3,0.9484117965861276,0.051588203413920834
0,-1,-1,0,,1,-1,0.9305142300063288,0.06948576999365574
0,-1,1,0,2.0,1,-1,0.9178110519680279,0.082188948032007
1,-1,1,1,3.0,1,0,0.9241826311415602,0.07581736885838655
1,1,1,1,-2.0,1,2,0.9203242172088685,0.0796757827911365
0,1,-1,1,,1,2,0.9209438139008915,0.07905618609905336
1,-1,1,0,-1.0,1,-1,0.9107271124372939,0.08927288756265102
0,1,-1,1,,1,2,0.884842500686124,0.11515749931384207
0,-1,-1,0,,1,-1,0.831048806228652,0.16895119377134535
1,-1,1,0,-1.0,1,-1,0.7866238377906359,0.21337616220941472
0,1,-1,1,,1,2,0.6959032995972764,0.3040967004027268
0,-1,-1,0,,1,-1,0.5159842591798462,0.4840157408201799
0,-1,-1,0,,1,-1,0.3606078819999529,0.6393921180000237
0,-1,1,0,-1.0,1,-1,0.22587825138355971,0.7741217486164816
0,-1,-1,1,,1,0,0.1729820826452519,0.8270179173547948
